,name,date_time,lat,lon,temp,temp_min,temp_max,humidity,wind_speed,clouds_percent
0,Narsaq,1578240808,60.91,-46.05,266.15,266.15,266.15,57,3.1,75
1,Kapaa,1578240808,22.08,-159.32,296.37,295.15,297.15,83,8.7,75
2,Roald,1578240808,62.58,6.12,278.33,274.82,282.15,93,9.8,75
3,Georgetown,1578240589,6.8,-58.16,302.15,302.15,302.15,66,4.1,75
4,Bluff,1578240809,-23.58,149.07,295.41,295.41,295.41,77,3.68,34
5,Thompson,1578240809,55.74,-97.86,258.15,258.15,258.15,84,2.1,90
6,Wiarton,1578240809,44.74,-81.13,271.6,270.37,273.15,74,1.0,90
7,Esperance,1578240809,-33.86,121.89,293.15,293.15,293.15,52,6.7,0
8,Mataura,1578240809,-46.19,168.86,283.71,283.71,283.71,86,5.81,100
9,Broome,1578240809,52.47,1.45,280.71,279.82,281.48,87,5.1,75
10,Kodiak,1578240810,39.95,-94.76,281.23,280.15,282.59,52,6.7,1
11,Pierre,1578240810,44.37,-100.35,275.18,274.15,275.93,74,9.8,1
12,Yuanping,1578240810,38.72,112.71,267.98,267.98,267.98,97,0.43,100
13,Walvis Bay,1578240810,-22.95,14.51,292.59,292.59,292.59,81,0.89,32
14,Haines Junction,1578240810,60.75,-137.51,245.42,245.42,245.42,96,0.46,32
15,Saint George,1578240811,39.45,22.34,280.77,280.15,281.15,80,7.2,90
16,Ribeira Grande,1578240811,38.52,-28.7,291.15,291.15,291.15,93,9.3,75
17,Punta Arenas,1578240811,-53.16,-70.91,284.95,284.15,285.93,71,8.7,75
18,Saskylakh,1578240811,71.97,114.09,243.76,243.76,243.76,95,4.76,0
19,Nova Granada,1578240811,-20.53,-49.32,301.15,301.15,301.15,65,3.6,75
20,Wexford,1578240656,40.63,-80.06,272.09,271.48,272.59,74,3.6,90
21,Cap Malheureux,1578240811,-19.98,57.61,297.09,297.04,297.15,94,4.6,75
22,Rikitea,1578240811,-23.12,-134.97,297.3,297.3,297.3,72,6.48,8
23,Comodoro Rivadavia,1578240812,-45.87,-67.48,295.15,295.15,295.15,30,8.2,40
24,Gavle,1578240812,60.67,17.14,272.59,272.59,272.59,87,3.58,100
25,Busselton,1578240812,-33.64,115.35,288.68,287.04,290.93,32,5.19,33
26,Nikolskoye,1578240812,59.7,30.79,270.21,269.26,271.15,68,5.0,75
27,Naryan-Mar,1578240813,67.67,53.09,263.71,263.71,263.71,88,7.7,57
28,Port Elizabeth,1578240813,39.31,-74.98,277.79,276.48,279.15,44,8.2,75
29,Butaritari,1578240813,3.07,172.79,302.72,302.72,302.72,75,5.61,99
30,Bredasdorp,1578240813,-34.53,20.04,291.71,290.37,294.15,64,4.6,100
31,Hobart,1578240813,-42.88,147.33,281.69,278.71,284.15,81,2.6,40
32,Basey,1578240813,11.28,125.07,297.59,297.59,297.59,95,2.13,60
33,Racale,1578240813,39.96,18.09,281.6,281.15,282.15,45,11.8,0
34,Sorland,1578240814,67.67,12.69,275.08,273.15,277.15,93,12.3,75
35,Petropavlovsk-Kamchatskiy,1578240814,53.05,158.65,273.15,273.15,273.15,85,3.0,75
36,Phrae,1578240814,18.14,100.15,298.43,295.93,300.93,99,0.59,0
37,Garmsar,1578240814,35.22,52.34,282.32,282.32,282.32,32,6.51,0
38,Camacha,1578240814,33.08,-16.33,291.15,291.15,291.15,72,5.1,40
39,Tuktoyaktuk,1578240814,69.44,-133.03,243.15,243.15,243.15,74,3.6,90
40,Nome,1578240815,30.04,-94.42,288.68,285.15,291.48,87,2.6,1
41,El Angel,1578240815,0.62,-77.93,288.15,288.15,288.15,72,2.25,40
42,Sibu,1578240815,2.29,111.83,298.15,298.15,298.15,94,1.5,75
43,Puerto Ayora,1578240815,-0.74,-90.35,298.83,297.04,300.15,65,5.1,75
44,Mackay,1578240815,53.65,-115.58,259.15,259.15,259.15,84,3.98,20
45,Arbroath,1578240559,56.56,-2.59,282.54,282.04,283.15,87,7.7,75
46,Tautira,1578240815,-17.73,-149.15,298.15,298.15,298.15,83,1.5,40
47,Sao Filipe,1578240815,14.9,-24.5,295.65,295.65,295.65,63,6.33,24
48,Vaini,1578240816,15.34,74.49,294.15,294.15,294.15,73,0.95,20
49,Marshfield,1578240816,42.09,-70.71,275.72,274.26,277.15,64,8.7,75
50,Arkhipo-Osipovka,1578240816,44.37,38.53,277.1,277.1,277.1,81,1.26,100
51,Yellowknife,1578240816,62.45,-114.38,250.25,250.15,250.37,76,3.6,75
52,Atuona,1578240816,-9.8,-139.03,299.87,299.87,299.87,67,1.43,0
53,Kupang,1578240817,-10.16,123.6,300.15,300.15,300.15,88,5.7,75
54,Castro,1578240817,-42.48,-73.76,287.15,287.15,287.15,76,4.6,75
55,Sept-Iles,1578240817,50.2,-66.38,265.49,265.15,265.93,67,6.7,75
56,Quimper,1578240817,48.0,-4.1,280.87,280.15,281.48,81,3.1,90
57,Jamestown,1578240729,-33.21,138.6,285.13,285.13,285.13,89,4.91,100
58,Flin Flon,1578240817,54.77,-101.88,264.15,264.15,264.15,78,4.6,90
59,Carnarvon,1578240817,-30.97,22.13,305.65,305.65,305.65,7,9.65,0
60,Terra Santa,1578240817,-2.1,-56.49,305.48,305.48,305.48,50,2.99,57
61,Waitati,1578240818,-45.75,170.57,285.93,285.93,285.93,49,5.36,8
62,Batemans Bay,1578240818,-35.71,150.18,288.15,288.15,288.15,79,4.02,69
63,Pangnirtung,1578240818,66.15,-65.72,230.71,230.71,230.71,97,2.55,100
64,Virginia Beach,1578240685,36.85,-75.98,280.21,279.15,281.48,48,8.2,20
65,Tevaitoa,1578240818,-16.78,-151.5,300.25,300.25,300.25,77,4.29,36
66,Townsville,1578240819,-19.26,146.82,299.67,299.26,300.15,74,4.1,40
67,Fairbanks,1578240605,64.84,-147.72,237.74,235.15,242.59,58,0.46,75
68,Qaanaaq,1578240819,77.48,-69.36,238.52,238.52,238.52,48,2.41,0
69,Soledade,1578240819,-7.06,-36.37,303.15,303.15,303.15,51,3.1,75
70,Luwuk,1578240819,-0.95,122.79,300.49,300.49,300.49,77,4.89,100
71,Arraial do Cabo,1578240678,-22.97,-42.02,300.67,300.15,301.15,78,3.6,75
72,Ushuaia,1578240764,-54.81,-68.31,288.15,288.15,288.15,47,5.1,75
73,Goderich,1578240820,43.74,-81.71,273.64,272.04,275.37,71,2.24,98
74,Lebu,1578240820,8.96,38.73,293.52,293.52,293.52,39,5.61,49
75,Gorontalo,1578240820,0.54,123.06,296.17,296.17,296.17,96,1.35,100
76,Totolapan,1578240820,18.99,-98.92,285.26,282.04,291.15,39,2.6,5
77,Antofagasta,1578240820,-23.65,-70.4,296.15,296.15,296.15,60,6.2,75
78,Souillac,1578240820,45.6,-0.6,281.44,280.93,282.15,66,6.2,0
79,Parnarama,1578240821,-5.68,-43.09,306.22,306.22,306.22,52,1.24,72
80,Ancud,1578240821,-41.87,-73.83,287.15,287.15,287.15,76,4.6,75
