,name,date_time,lat,lon,temp,temp_min,temp_max,humidity,wind_speed,clouds_pecent
0,Vaitape,1577916293,-16.52,-151.75,300.65,300.65,300.65,79,9.28,100
1,Yellowknife,1577916440,62.45,-114.38,259.15,259.15,259.15,92,2.6,90
2,Balkhash,1577916440,46.84,74.98,266.96,266.96,266.96,95,3.14,100
3,Avarua,1577916440,-21.21,-159.78,299.15,299.15,299.15,74,18.0,99
4,Grafton,1577916442,-29.69,152.93,297.5,296.15,298.15,88,0.65,34
5,Qaanaaq,1577916442,77.48,-69.36,236.05,236.05,236.05,90,2.17,100
6,Whitehorse,1577916442,60.72,-135.06,272.15,272.15,272.15,86,9.3,75
7,Albany,1577916442,42.65,-73.75,273.51,270.37,276.15,51,5.7,75
8,Natal,1577916370,-5.81,-35.21,299.64,299.15,300.15,78,3.6,40
9,Hithadhoo,1577916442,-0.6,73.08,301.17,301.17,301.17,79,5.07,40
10,Hobart,1577916443,-42.88,147.33,289.85,286.48,291.15,39,6.7,75
11,Kiunga,1577916443,-6.12,141.3,295.74,295.74,295.74,99,1.84,100
12,Coahuayana,1577916443,18.62,-100.35,307.35,307.35,307.35,28,1.0,0
13,Ossora,1577916443,59.24,163.07,270.52,270.52,270.52,89,6.34,100
14,Ribeira Grande,1577916443,38.52,-28.7,288.15,288.15,288.15,67,6.2,40
15,Sibu,1577916443,2.29,111.83,298.15,298.15,298.15,94,2.1,75
16,Punta Arenas,1577916444,-53.16,-70.91,293.16,292.04,294.15,37,7.7,96
17,Kapaa,1577916444,22.08,-159.32,299.59,299.15,300.15,57,4.6,1
18,Lata,1577916444,30.78,78.62,260.7,260.7,260.7,81,2.98,100
19,Luganville,1577916444,-15.51,167.18,300.15,300.15,300.15,78,1.0,75
20,Iwaki,1577916444,37.05,140.89,272.95,272.04,273.71,76,0.45,0
21,Ushuaia,1577916246,-54.81,-68.31,293.15,293.15,293.15,32,6.2,75
22,Carnarvon,1577916445,-30.97,22.13,294.58,294.58,294.58,21,3.52,0
23,Henties Bay,1577916445,-22.12,14.28,289.82,289.82,289.82,89,0.89,96
24,Maningrida,1577916445,-12.05,134.23,299.5,299.5,299.5,87,1.24,100
25,Katsuura,1577916445,33.93,134.5,275.16,274.15,276.15,81,4.6,20
26,Faanui,1577916445,-16.48,-151.75,300.65,300.65,300.65,79,9.28,100
27,San Carlos,1577916445,11.12,-84.78,296.48,296.48,296.48,61,1.18,12
28,Jamestown,1577916446,-33.21,138.6,291.14,291.14,291.14,41,4.89,0
29,Mapiri,1577916446,-15.31,-68.22,293.01,293.01,293.01,99,0.36,100
30,Pangai,1577916446,-19.8,-174.35,300.15,300.15,300.15,57,7.2,20
31,Airai,1577916446,-8.93,125.41,293.15,293.15,293.15,92,0.58,100
32,Rikitea,1577916446,-23.12,-134.97,299.08,299.08,299.08,80,5.21,100
33,Seddon,1577916446,-37.81,144.89,291.18,289.26,293.15,59,3.1,20
34,Vaini,1577916447,15.34,74.49,289.95,289.95,289.95,84,0.35,0
35,Ponta do Sol,1577916447,-20.63,-46.0,297.63,297.63,297.63,81,1.13,100
36,Zhezkazgan,1577916447,47.8,67.71,263.96,263.96,263.96,91,3.51,32
37,Itarema,1577916447,-2.92,-39.92,299.73,299.73,299.73,76,3.43,2
38,Ardahan,1577916448,41.11,42.7,261.2,261.2,261.2,95,1.25,0
39,Mahebourg,1577916448,-20.41,57.7,298.44,298.15,298.71,94,1.5,20
40,Castro,1577916448,-42.48,-73.76,295.15,295.15,295.15,53,3.6,49
41,San Patricio,1577916448,-26.98,-56.83,305.44,305.44,305.44,42,3.04,82
42,Karratha,1577916448,-20.74,116.85,302.02,302.02,302.02,73,5.38,75
43,Beloha,1577916448,-25.17,45.06,296.08,296.08,296.08,84,5.29,5
44,Honiara,1577916449,-9.43,159.96,298.19,298.19,298.19,86,0.2,17
45,Atuona,1577916449,-9.8,-139.03,299.85,299.85,299.85,76,7.84,32
46,Mataura,1577916449,-46.19,168.86,284.67,284.67,284.67,97,0.33,100
47,Mauriti,1577916449,-7.39,-38.77,302.15,302.15,302.15,54,2.1,40
48,Reconquista,1577916449,-29.14,-59.64,306.25,306.25,306.25,35,6.08,0
49,Christchurch,1577916423,-43.53,172.64,290.81,288.71,293.15,82,2.6,100
50,Bluff,1577916450,-23.58,149.07,297.8,297.8,297.8,78,5.35,3
51,Tautira,1577916450,-17.73,-149.15,303.15,303.15,303.15,70,7.2,75
52,Lufilufi,1577916450,-13.87,-171.6,298.71,298.71,298.71,94,1.34,11
53,Lodja,1577916450,-3.52,23.6,294.71,294.71,294.71,97,0.54,100
54,Kez,1577916450,57.9,53.72,258.04,258.04,258.04,95,1.7,86
55,Te Anau,1577916451,-45.41,167.72,283.52,283.52,283.52,96,2.56,100
56,Tuktoyaktuk,1577916451,69.44,-133.03,253.15,253.15,253.15,70,5.7,90
57,Sao Filipe,1577916451,14.9,-24.5,295.9,295.9,295.9,66,6.85,100
58,Dingle,1577916451,11.0,122.67,295.67,295.67,295.67,93,4.29,46
59,Secunda,1577916451,-26.52,29.2,289.82,289.82,289.82,86,2.04,67
60,Pathein,1577916451,16.78,94.73,295.04,295.04,295.04,70,1.54,0
61,Sistranda,1577916452,63.73,8.83,281.56,280.37,282.59,89,10.8,75
62,Bethel,1577916452,60.79,-161.76,252.47,252.15,253.15,83,10.3,90
63,Osijek,1577916452,45.55,18.69,271.57,271.15,272.04,92,3.1,0
64,Mildura,1577916452,-34.18,142.16,293.45,292.15,294.82,48,3.6,0
65,Saint George,1577916452,39.45,22.34,279.86,279.26,280.15,72,2.1,75
66,Georgetown,1577916341,6.8,-58.16,301.15,301.15,301.15,74,3.1,20
67,Port Alfred,1577916452,-33.59,26.89,293.15,293.15,293.15,88,1.79,69
68,Hermanus,1577916453,-34.42,19.24,292.47,290.93,293.71,89,8.24,0
69,Rome,1577916330,41.89,12.48,278.3,273.71,282.04,56,2.1,0
70,Butaritari,1577916474,3.07,172.79,302.25,302.25,302.25,78,3.96,100
71,Aketi,1577916423,2.74,23.78,297.38,297.38,297.38,46,0.59,100
72,Fortuna,1577916340,40.6,-124.16,285.67,285.15,286.48,100,3.6,90
73,Nouadhibou,1577916474,20.93,-17.03,292.15,292.15,292.15,45,3.1,100
